305nm,,280nm_bp,,280nm,,
Wavelength (nm),%T,Wavelength (nm),%T,Wavelength (nm),%T,
511.9463806,87.02359009,511.9463806,-0.02220600843,511.9463806,86.78838348,
511.0379639,86.8227005,511.0379639,0.01402996853,511.0379639,86.57821655,
509.9779358,86.61121368,509.9779358,0.003772446187,509.9779358,86.59095001,
509.0691223,86.59963989,509.0691223,0.02506370284,509.0691223,86.44364929,
508.0086365,86.53356934,508.0086365,-0.01288659871,508.0086365,86.37871552,
506.9479065,86.54239655,506.9479065,0.01082925033,506.9479065,86.20384216,
506.0385132,86.31340027,506.0385132,-0.007049700245,506.0385132,86.16609192,
504.9773254,86.27346802,504.9773254,0.01780563407,504.9773254,86.06686401,
504.0675659,86.18765259,504.0675659,0.01407558564,504.0675659,85.97776031,
503.0059509,86.16488647,503.0059509,-0.0026807494,503.0059509,85.91288757,
501.9440918,86.22302246,501.9440918,0.04359989986,501.9440918,85.86553955,
501.0337524,86.11598969,501.0337524,-0.02809087373,501.0337524,85.82976532,
499.9714355,86.06159973,499.9714355,0.02426889911,499.9714355,85.92518616,
499.06073,86.07288361,499.06073,-0.01051635295,499.06073,85.83937836,
497.9979858,86.02377319,497.9979858,0,497.9979858,85.79553986,
496.9350281,86.02449036,496.9350281,-0.004029171076,496.9350281,85.82320404,
496.0237122,86.04466248,496.0237122,0.01085128356,496.0237122,85.80454254,
494.9603271,86.17825317,494.9603271,0.01267212909,494.9603271,85.80297852,
494.048645,86.16174316,494.048645,0,494.048645,85.80126953,
492.9848022,86.171875,492.9848022,0,492.9848022,85.90010071,
492.0727539,86.18535614,492.0727539,-0.007634364534,492.0727539,85.90372467,
491.0084839,86.13356018,491.0084839,0.005161956418,491.0084839,85.88536072,
489.9440002,86.13892365,489.9440002,-0.01497813221,489.9440002,85.90019226,
489.0313721,86.24166107,489.0313721,0.01007658243,489.0313721,85.94963074,
487.9664612,86.30584717,487.9664612,-0.00594742503,487.9664612,86.07444,
487.0534668,86.31938171,487.0534668,-0.002113941358,487.0534668,86.17409515,
485.9880981,86.38587189,485.9880981,-0.04762358591,485.9880981,86.16814423,
485.0747681,86.48851776,485.0747681,0,485.0747681,86.20941925,
484.0089722,86.51293182,484.0089722,0.003983746283,484.0089722,86.2795639,
482.9429626,86.47279358,482.9429626,0.01434257254,482.9429626,86.23282623,
482.0290833,86.65544891,482.0290833,-0.004176934715,482.0290833,86.3779068,
480.9626465,86.69231415,480.9626465,-0.005535872187,480.9626465,86.43037415,
480.0483704,86.8110733,480.0483704,0,480.0483704,86.45350647,
478.9815063,86.76773071,478.9815063,-0.003668916877,478.9815063,86.4932251,
478.0668945,86.89186859,478.0668945,0.003531946335,478.0668945,86.45133972,
476.9996033,86.84002686,476.9996033,0.03108700924,476.9996033,86.48236084,
475.9321289,86.7922287,475.9321289,-0.0273426827,475.9321289,86.38973236,
475.0169373,86.69208527,475.0169373,0,475.0169373,86.45352936,
473.9490356,86.68425751,473.9490356,0.01294721849,473.9490356,86.37275696,
473.0334778,86.60314941,473.0334778,0.01153402589,473.0334778,86.30943298,
471.9651489,86.44876099,471.9651489,0.007244539447,471.9651489,86.17467499,
471.0492859,86.45001984,471.0492859,0.04224757105,471.0492859,86.04711914,
469.9805298,86.31494141,469.9805298,-0.0136898784,469.9805298,85.89647675,
469.0643005,86.15505981,469.0643005,0,469.0643005,85.86306,
467.9951477,85.92064667,467.9951477,0.006866481155,467.9951477,85.57336426,
466.9257507,85.70754242,466.9257507,-0.003850152018,466.9257507,85.50196075,
466.0089722,85.55154419,466.0089722,-0.02176041715,466.0089722,85.22938538,
464.9391785,85.49996948,464.9391785,-0.003286338644,464.9391785,85.09029388,
464.0220642,85.20061493,464.0220642,-0.03337226808,464.0220642,85.00536346,
462.9518738,85.2072525,462.9518738,-0.0160012804,462.9518738,84.75141907,
462.0343933,85.0121994,462.0343933,0.005855486728,462.0343933,84.69727325,
460.9637756,84.9382782,460.9637756,0.02630263939,460.9637756,84.56702423,
460.0459595,84.81697845,460.0459595,-0.01494411007,460.0459595,84.41175842,
458.9749451,84.42823792,458.9749451,0.01564700343,458.9749451,84.19775391,
458.0567932,84.52487183,458.0567932,0.02307869866,458.0567932,84.13796997,
456.9853821,84.35556793,456.9853821,-0.003179650288,456.9853821,83.96160889,
456.066864,84.38924408,456.066864,0.008428860456,456.066864,83.92218781,
454.9950562,84.1607132,454.9950562,-0.004520591348,454.9950562,83.82776642,
454.0762024,84.20759583,454.0762024,0,454.0762024,83.68218231,
453.0039978,84.01631165,453.0039978,0.002836235799,453.0039978,83.60961914,
451.9315796,83.8973999,451.9315796,0.01296092197,451.9315796,83.57207489,
451.012207,83.90270233,451.012207,0.008504124358,451.012207,83.45096588,
449.9393921,83.80447388,449.9393921,0.005386770237,449.9393921,83.39292908,
449.0196838,83.77293396,449.0196838,-0.00814022962,449.0196838,83.36993408,
447.9464722,83.72893524,447.9464722,-0.007336936891,447.9464722,83.34979248,
447.0263977,83.64422607,447.0263977,0.002275675302,447.0263977,83.31739807,
445.9528198,83.65714264,445.9528198,0.01691761054,445.9528198,83.31793976,
445.0324097,83.63857269,445.0324097,-0.02827894315,445.0324097,83.25087738,
443.9584351,83.61684418,443.9584351,0,443.9584351,83.15363312,
443.0377197,83.57519531,443.0377197,0.007765180431,443.0377197,83.24517822,
441.9633179,83.54584503,441.9633179,0.01596615091,441.9633179,83.11322784,
441.0422668,83.62449646,441.0422668,-0.01193687785,441.0422668,83.10153961,
